periodo,zona_origen,zona_destino,car_opeak,car_peak,tm_opeak,tm_peak
0,a100,a26,6.04996,6.04996,10.0952,9.07494
0,a100,a27,27.5023,27.5023,45.8912,41.2534
0,a100,a28,23.1891,23.1891,38.6941,34.7836
0,a100,a29,27.1848,27.1848,45.3615,40.7772
0,a100,a3,35.1391,35.1391,58.6344,52.7087
0,a100,a30,21.8108,21.8108,36.3943,32.7163
0,a100,a31,24.0558,24.0558,40.1404,36.0837
0,a100,a32,16.7162,16.7162,27.8932,25.0743
0,a100,a33,19.5981,19.5981,32.702,29.3971
0,a100,a34,21.1072,21.1072,35.2202,31.6608
0,a100,a35,15.2479,15.2479,25.4431,22.8718
0,a100,a36,17.0569,17.0569,28.4617,25.5854
0,a100,a37,20.5517,20.5517,34.2933,30.8276
0,a100,a38,12.0361,12.0361,20.0838,18.0541
0,a100,a39,12.8509,12.8509,21.4434,19.2764
0,a100,a4,26.4562,26.4562,44.1457,39.6843
0,a100,a40,15.4221,15.4221,25.7339,23.1332
0,a100,a41,11.201,11.201,18.6903,16.8015
0,a100,a42,15.5338,15.5338,25.9203,23.3007
0,a100,a43,18.8602,18.8602,31.4708,28.2904
0,a100,a44,19.547,19.547,32.6168,29.3205
0,a100,a45,31.6261,31.6261,52.7724,47.4392
0,a100,a46,33.9299,33.9299,56.6166,50.8948
0,a100,a47,38.1945,38.1945,63.7325,57.2917
0,a100,a48,24.2023,24.2023,40.3848,36.3035
0,a100,a49,27.873,27.873,46.5098,41.8095
0,a100,a5,25.0231,25.0231,41.7543,37.5346
0,a100,a50,30.8162,30.8162,51.4209,46.2243
0,a100,a51,30.6998,30.6998,51.2267,46.0497
0,a100,a52,33.3203,33.3203,55.5994,49.9805
0,a100,a53,35.3921,35.3921,59.0564,53.0882
0,a100,a54,37.5303,37.5303,62.6243,56.2954
0,a100,a55,33.2654,33.2654,55.5078,49.8981
0,a100,a56,41.4374,41.4374,69.1438,62.156
0,a100,a57,26.1291,26.1291,43.5998,39.1936
0,a100,a58,27.2327,27.2327,45.4415,40.8491
0,a100,a59,37.0448,37.0448,61.8143,55.5673
0,a100,a6,25.3122,25.3122,42.2368,37.9684
0,a100,a60,21.7579,21.7579,36.3059,32.6368
0,a100,a61,25.1028,25.1028,41.8873,37.6541
0,a100,a62,27.54,27.54,45.9542,41.31
0,a100,a63,29.2052,29.2052,48.7328,43.8078
0,a100,a64,24.7572,24.7572,41.3107,37.1358
0,a100,a65,25.65,25.65,42.8005,38.475
0,a100,a66,21.6278,21.6278,36.089,32.4418
0,a100,a67,15.316,15.316,25.5569,22.9741
0,a100,a68,12.9005,12.9005,21.5262,19.3507
0,a100,a69,11.5441,11.5441,19.2629,17.3162
0,a100,a7,22.3457,22.3457,37.2869,33.5186
0,a100,a70,11.6109,11.6109,19.3744,17.4164
0,a100,a71,15.3219,15.3219,25.5666,22.9828
0,a100,a72,15.904,15.904,26.5379,23.8559
0,a100,a73,15.6891,15.6891,26.1794,23.5337
0,a100,a74,15.7241,15.7241,26.2377,23.5861
0,a100,a75,14.8311,14.8311,24.7476,22.2466
0,a100,a76,18.3268,18.3268,30.5807,27.4902
0,a100,a77,16.5689,16.5689,27.6474,24.8534
0,a100,a78,18.3202,18.3202,30.5697,27.4803
0,a100,a79,20.6658,20.6658,34.4836,30.9987
0,a100,a8,21.1358,21.1358,35.2679,31.7037
0,a100,a80,22.4492,22.4492,37.4594,33.6737
0,a100,a81,23.0297,23.0297,38.4282,34.5446
0,a100,a82,24.5698,24.5698,40.998,36.8547
0,a100,a83,17.8312,17.8312,29.7537,26.7467
0,a100,a84,51.4586,51.4586,85.8656,77.1879
0,a100,a85,16.516,16.516,27.5591,24.7739
0,a100,a86,17.0479,17.0479,28.4468,25.5719
0,a100,a87,18.2501,18.2501,30.4527,27.3751
0,a100,a88,17.5452,17.5452,29.2765,26.3178
0,a100,a89,19.7373,19.7373,32.9343,29.6059
0,a100,a9,17.9829,17.9829,30.0069,26.9744
0,a100,a90,19.43,19.43,32.4216,29.145
0,a100,a91,21.4944,21.4944,35.8663,32.2416
0,a100,a92,14.6441,14.6441,24.4357,21.9662
0,a100,a93,10.6459,10.6459,17.764,15.9688
0,a100,a94,14.6791,14.6791,24.494,22.0186
0,a100,a95,11.2789,11.2789,18.8203,16.9183
0,a100,a96,13.384,13.384,22.3329,20.076
0,a100,a97,14.8481,14.8481,24.7761,22.2722
0,a100,a98,6.62889,6.62889,11.0612,9.94333
0,a100,a99,6.45308,6.45308,10.7678,9.67962
0,a101,a1,23.786,23.786,34.0386,35.679
0,a101,a10,13.5841,13.5841,39.0931,35.6937
0,a101,a100,6.94593,6.94593,9.93987,10.4189
0,a101,a101,6.05008,6.05008,39.0954,35.6958
0,a101,a102,6.61502,6.61502,9.46632,9.92252
0,a101,a103,8.16002,8.16002,39.0726,35.675
0,a101,a104,7.48087,7.48087,10.7054,11.2213
0,a101,a105,9.076,9.076,12.9881,13.614
0,a101,a106,8.53209,8.53209,39.0973,35.6975
0,a101,a107,9.91189,9.91189,14.1843,14.8678
0,a101,a108,14.0319,14.0319,39.0962,35.6965
0,a101,a109,10.954,10.954,15.6755,16.4309
0,a101,a11,12.173,12.173,39.0971,35.6974
0,a101,a110,14.8071,14.8071,21.1895,22.2107
0,a101,a111,10.8041,10.8041,15.4611,16.2062
0,a101,a112,14.6099,14.6099,20.9072,21.9148
0,a101,a113,72.7411,72.7411,104.095,109.112
0,a101,a114,113.093,113.093,161.84,169.639
0,a101,a115,41.1671,41.1671,58.9115,61.7507
0,a101,a116,41.9871,41.9871,60.085,62.9807
0,a101,a117,88.4164,88.4164,126.527,132.625
0,a101,a118,40.6319,40.6319,60.881,60.9478
0,a101,a119,44.8821,44.8821,67.6763,67.3232
0,a101,a12,22.1991,22.1991,39.0933,35.6938
0,a101,a120,33.0002,33.0002,49.6012,49.5003
0,a101,a121,51.7872,51.7872,74.1093,77.6809
0,a101,a122,28.166,28.166,40.3066,42.249
0,a101,a123,25.9208,25.9208,37.0935,38.8812
0,a101,a124,29.9892,29.9892,42.9156,44.9838
0,a101,a125,35.4836,35.4836,50.7783,53.2254
0,a101,a126,54.2125,54.2125,77.58,81.3188
0,a101,a127,83.4613,83.4613,119.436,125.192
0,a101,a13,19.9638,19.9638,39.0893,35.6902
0,a101,a14,17.8971,17.8971,39.081,35.6827
0,a101,a15,11.534,11.534,39.0944,35.6949
0,a101,a16,9.4509,9.4509,25.4498,23.2368
0,a101,a17,6.28603,6.28603,39.0851,35.6864
0,a101,a18,20.7671,20.7671,29.7185,31.1507
0,a101,a19,16.4701,16.4701,39.0845,35.6858
0,a101,a2,25.5913,25.5913,36.622,38.3869
0,a101,a20,11.3109,11.3109,39.0941,35.6946
0,a101,a21,7.79705,7.79705,25.1673,22.9789
0,a101,a22,23.9331,23.9331,39.0816,35.6832
0,a101,a23,19.0419,19.0419,39.0916,35.6923
0,a101,a24,14.4761,14.4761,39.0444,35.6492
0,a101,a25,13.0371,13.0371,39.0922,35.6929
0,a101,a26,6.93392,6.93392,9.92268,10.4009
0,a101,a27,20.7315,20.7315,29.6675,31.0973
0,a101,a28,16.7671,16.7671,23.9943,25.1506
0,a101,a29,20.6161,20.6161,29.5024,30.9242
0,a101,a3,33.0131,33.0131,47.2429,49.5196
